,user,role,email,pc
0,usr-esz,Security,usr-esz@cyberwave-solutions.com,pc0
1,usr-idp,Security,usr-idp@cyberwave-solutions.com,pc1
2,usr-pum,Security,usr-pum@cyberwave-solutions.com,pc2
3,usr-dpa,Services,usr-dpa@cyberwave-solutions.com,pc3
4,usr-mnt,Security,usr-mnt@cyberwave-solutions.com,pc4
5,usr-awo,HR,usr-awo@cyberwave-solutions.com,pc5
6,usr-zhs,Services,usr-zhs@cyberwave-solutions.com,pc6
7,usr-kaa,Finance,usr-kaa@cyberwave-solutions.com,pc7
8,usr-ram,Legal,usr-ram@cyberwave-solutions.com,pc8
9,usr-nxa,Director,usr-nxa@cyberwave-solutions.com,pc9
10,usr-yop,Director,usr-yop@cyberwave-solutions.com,pc10
11,usr-lhv,HR,usr-lhv@cyberwave-solutions.com,pc11
12,usr-oja,Technical,usr-oja@cyberwave-solutions.com,pc12
13,usr-rud,HR,usr-rud@cyberwave-solutions.com,pc13
14,usr-xjd,Security,usr-xjd@cyberwave-solutions.com,pc14
15,usr-xwq,Services,usr-xwq@cyberwave-solutions.com,pc15
16,usr-nqv,HR,usr-nqv@cyberwave-solutions.com,pc16
17,usr-jsp,Security,usr-jsp@cyberwave-solutions.com,pc17
18,usr-qms,Security,usr-qms@cyberwave-solutions.com,pc18
19,usr-phx,Security,usr-phx@cyberwave-solutions.com,pc19
20,usr-nvf,Technical,usr-nvf@cyberwave-solutions.com,pc20
21,usr-wyv,Security,usr-wyv@cyberwave-solutions.com,pc21
22,usr-cov,Director,usr-cov@cyberwave-solutions.com,pc22
23,usr-yfq,Security,usr-yfq@cyberwave-solutions.com,pc23
24,usr-lpx,Finance,usr-lpx@cyberwave-solutions.com,pc24
25,usr-bjw,Security,usr-bjw@cyberwave-solutions.com,pc25
26,usr-tss,Technical,usr-tss@cyberwave-solutions.com,pc26
27,usr-ffq,HR,usr-ffq@cyberwave-solutions.com,pc27
28,usr-ayg,Director,usr-ayg@cyberwave-solutions.com,pc28
29,usr-rhm,Director,usr-rhm@cyberwave-solutions.com,pc29
30,usr-slo,Services,usr-slo@cyberwave-solutions.com,pc30
31,usr-vrt,Services,usr-vrt@cyberwave-solutions.com,pc31
32,usr-amz,Security,usr-amz@cyberwave-solutions.com,pc32
33,usr-xqz,Finance,usr-xqz@cyberwave-solutions.com,pc33
34,usr-yrg,Technical,usr-yrg@cyberwave-solutions.com,pc34
35,usr-bpl,Director,usr-bpl@cyberwave-solutions.com,pc35
36,usr-gqn,Director,usr-gqn@cyberwave-solutions.com,pc36
37,usr-lnl,Finance,usr-lnl@cyberwave-solutions.com,pc37
38,usr-rtz,Legal,usr-rtz@cyberwave-solutions.com,pc38
39,usr-ota,Security,usr-ota@cyberwave-solutions.com,pc39
40,usr-ufr,Legal,usr-ufr@cyberwave-solutions.com,pc40
41,usr-czr,Security,usr-czr@cyberwave-solutions.com,pc41
42,usr-ibv,Finance,usr-ibv@cyberwave-solutions.com,pc42
43,usr-aoa,Security,usr-aoa@cyberwave-solutions.com,pc43
44,usr-ihi,Finance,usr-ihi@cyberwave-solutions.com,pc44
45,usr-tfl,Technical,usr-tfl@cyberwave-solutions.com,pc45
46,usr-ffi,Director,usr-ffi@cyberwave-solutions.com,pc46
47,usr-fvi,Legal,usr-fvi@cyberwave-solutions.com,pc47
48,usr-jow,Technical,usr-jow@cyberwave-solutions.com,pc48
49,usr-pda,Technical,usr-pda@cyberwave-solutions.com,pc49
